country,age,name_0,name_1,name_2,name_3,name_4, ARM SPAN , HEIGHT , HOBBY , FAVOURITE MOVIE , FAVOURITE GAME , FAVOURITE SONG , SPORTING HERO 
 SGP ,20,Luke,GOH,WEN,BIN,,,,,,,,
 NOR ,27,Thilo,Jeldrik,SCHRÖTER,,, 181 , 175 ,,,,,
 JPN ,18,Junta,SEKIGUCHI,,,,, 168 ,,,,,
 GBR ,19,Dayan,AKHTAR,,,,,,,,,,
 AUT ,16,Ilja,AUERSPERG,,,,,,,,,,
 IRL ,23,Michael,O'NEILL,,,, 180 , 174 ,,,,,
 THA ,18,Ardch,INTRACHUPONGSE,,,,,,,,,,
 ISR ,19,Geva,LEVIN,,,,,,,,,,
 IRL ,27,Ciarán,SCANLON,,,,,,,,,,
 CAN ,25,Lucas,UCHIDA,,,,,,,,,,
 HKG ,30,Ka-chun,YAU,,,, 177 , 172 ,,,,,
 BRA ,24,Felipe,HO,FOGANHOLO,,,,,,,,,
 CHI ,23,Benjamin,VARGAS,,,, 188 , 180 , Skateboarding , Clockwork orange , Dark souls , Dr. Whoever , Tomás González 
 KOR ,27,Shinyeong,YUN,,,, 171 , 166 ,,,,,
 USA ,17,Dillon,COUNTRYMAN,,,,, 164 ,,,,,
 HKG ,24,Cheuk-hei,HO,,,,,,,,,,
 ISR ,22,Carmel,RAZ,ROMEO,,,,,,,,,
 USA ,22,Joe,GOODACRE,,,,,,,,,,
 ITA ,29,Marcello,BOMBARDI,,,,, 177 ,,,,,
 UKR ,26,Fedir,SAMOILOV,,,, 186 ,, Fingerboarding; Climbing , Bayractar at work , Campusboarding , Cypsis “Eb@t putina” , Evgenii Kozak! 
 USA ,27,Palmer,LARSEN,,,,,,,,,,
 SGP ,31,Chua,DENNIS,,,,,,,,,,
 KOR ,23,Minyoung,LEE,,,,,,,,,,
 LUX ,22,Nathan,MARTIN,,,,,,,,,,
 FIN ,31,Anthony,GULLSTEN,,,,, 180 ,,,,,
 BRA ,20,Rodrigo,IASI,HANADA,,,,,,,,,
 JPN ,31,Rei,SUGIMOTO,,,,, 172 ,,,,,
 UKR ,28,Roman,BATSENKO,,,,, 179 ,,,,,
 USA ,25,Luke,MUEHRING,,,,,,,,,,
 ITA ,19,Michele,BONO,,,,,,,,,,
 GER ,21,Lasse,VON,FREIER,,,,,,,,,
 CHI ,25,Ronny,ESCOBAR,,,,,,,,,,
 UKR ,34,Sergii,TOPISHKO,,,,,,,,,,
 CHN ,21,Yongchen,CHEN,,,,,,,,,,
