,Competition Title,Competition Date,FIRST,LAST,Nation,StartNr,Rank,Qualification,Semifinal,Final,Category,Quali_Tops,Quali_Zones,Quali_Atempts_Tops,Quali_Attempts_Zones,semi_Tops,semi_Zones,semi_Atempts_Tops,semi_Attempts_Zones,Finals_Tops,Finals_Zones,Final_Atempts_Tops,Final_Attempts_Zones
318,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Sergei,SKORODUMOV,RUS,6.0,2,4T5z76,3T4z45,1T3z15,ldering,4,5,7,6,3,4,4,5,1,3,1,5
319,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Vadim,TIMONOV,RUS,5.0,3,5T5z76,2T4z24,1T3z15,ldering,5,5,7,6,2,4,2,4,1,3,1,5
320,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,William,RIDAL,GBR,8.0,4,4T4z106,3T4z1410,0T3z05,ldering,4,4,1,6,3,4,1,10,0,3,0,5
321,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Jeremy,BONDER,FRA,25.0,5,4T5z65,3T3z146,0T3z09,ldering,4,5,6,5,3,3,1,6,0,3,0,9
322,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Piotr,SCHAB,POL,55.0,6,4T5z138,2T3z65,0T3z014,ldering,4,5,1,8,2,3,6,5,0,3,0,4
323,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Nicolai,UZNIK,AUT,11.0,7,5T5z87,2T2z109,,ldering,5,5,8,7,2,2,1,9,0,0,0,0
324,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Nathan,PHILLIPS,GBR,2.0,8,4T4z84,1T4z712,,ldering,4,4,8,4,1,4,7,2,0,0,0,0
325,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Max,PRINZ,GER,36.0,9,4T5z45,1T3z17,,ldering,4,5,4,5,1,3,1,7,0,0,0,0
326,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Leo,AVEZOU,FRA,14.0,10,4T5z45,1T3z18,,ldering,4,5,4,5,1,3,1,8,0,0,0,0
327,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Nimrod,MARCUS,ISR,10.0,11,4T5z1110,1T3z18,,ldering,4,5,1,10,1,3,1,8,0,0,0,0
328,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Martin,STRANIK,CZE,16.0,12,3T5z411,1T3z18,,ldering,3,5,4,1,1,3,1,8,0,0,0,0
329,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Pietro,BIAGINI,ITA,19.0,13,4T5z76,1T3z410,,ldering,4,5,7,6,1,3,4,0,0,0,0,0
330,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Alex,KHAZANOV,ISR,4.0,14,4T5z98,1T3z68,,ldering,4,5,9,8,1,3,6,8,0,0,0,0
331,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Florian,KLINGLER,AUT,7.0,15,4T5z1213,1T2z12,,ldering,4,5,1,13,1,2,1,2,0,0,0,0
332,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Stefan,SCARPERI,ITA,31.0,16,4T5z57,1T2z24,,ldering,4,5,5,7,1,2,2,4,0,0,0,0
333,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Rolands,RUGENS,LAT,40.0,17,3T5z58,1T1z11,,ldering,3,5,5,8,1,1,1,1,0,0,0,0
334,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Arthur,TERNANT,FRA,12.0,18,4T5z88,0T2z05,,ldering,4,5,8,8,0,2,0,5,0,0,0,0
335,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Alfons,DORNAUER,AUT,13.0,19,5T5z98,0T2z06,,ldering,5,5,9,8,0,2,0,6,0,0,0,0
336,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Samuel,WINGARDH,SWE,50.0,20,4T5z116,0T2z07,,ldering,4,5,1,6,0,2,0,7,0,0,0,0
337,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Sergii,TOPISHKO,UKR,9.0,21,3T5z511,,,ldering,3,5,5,1,0,0,0,0,0,0,0,0
338,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Matteo,MANZONI,ITA,47.0,22,3T5z68,,,ldering,3,5,6,8,0,0,0,0,0,0,0,0
339,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Rolf Fredrik,SERLACHIUS,SWE,24.0,23,3T5z611,,,ldering,3,5,6,1,0,0,0,0,0,0,0,0
340,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Aleksey,RUBTSOV,RUS,1.0,24,3T5z712,,,ldering,3,5,7,2,0,0,0,0,0,0,0,0
341,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Matthias,ERBER,AUT,46.0,25,3T4z55,,,ldering,3,4,5,5,0,0,0,0,0,0,0,0
342,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,leo,FAVOT,FRA,22.0,26,2T5z211,,,ldering,2,5,2,1,0,0,0,0,0,0,0,0
343,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Max,KLEESATTEL,GER,35.0,27,2T5z36,,,ldering,2,5,3,6,0,0,0,0,0,0,0,0
344,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Adrian,CHMIALA,POL,44.0,28,2T5z37,,,ldering,2,5,3,7,0,0,0,0,0,0,0,0
345,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Jan-Luca,POSCH,AUT,18.0,28,2T5z37,,,ldering,2,5,3,7,0,0,0,0,0,0,0,0
346,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Tamás,FARKAS,HUN,45.0,30,2T5z47,,,ldering,2,5,4,7,0,0,0,0,0,0,0,0
347,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Elias,IAGNEMMA,ITA,51.0,31,2T5z410,,,ldering,2,5,4,0,0,0,0,0,0,0,0,0
348,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Fedir,SAMOILOV,UKR,39.0,32,2T5z512,,,ldering,2,5,5,2,0,0,0,0,0,0,0,0
349,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Peter,KURIC,SVK,32.0,33,2T5z614,,,ldering,2,5,6,4,0,0,0,0,0,0,0,0
350,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Philipp,MARTIN,GER,15.0,34,2T4z24,,,ldering,2,4,2,4,0,0,0,0,0,0,0,0
351,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Ádám,BAKURECZ,HUN,38.0,35,2T4z45,,,ldering,2,4,4,5,0,0,0,0,0,0,0,0
352,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Matic,KOTAR,SLO,53.0,36,2T4z46,,,ldering,2,4,4,6,0,0,0,0,0,0,0,0
353,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Oleksii,KRYNETSKYI,UKR,28.0,37,2T4z415,,,ldering,2,4,4,5,0,0,0,0,0,0,0,0
354,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Sergei,TIUPYSHEV,RUS,21.0,38,2T3z56,,,ldering,2,3,5,6,0,0,0,0,0,0,0,0
355,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Stepan,VOLF,CZE,54.0,39,2T3z77,,,ldering,2,3,7,7,0,0,0,0,0,0,0,0
356,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Joris,LEIPUS,LTU,48.0,40,2T2z32,,,ldering,2,2,3,2,0,0,0,0,0,0,0,0
357,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Don,VAN LAERE,NED,23.0,41,1T5z15,,,ldering,1,5,1,5,0,0,0,0,0,0,0,0
358,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Maksim,NIKIFARAVETS,BLR,30.0,42,1T5z122,,,ldering,1,5,1,2,0,0,0,0,0,0,0,0
359,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Evgenii,ZAZULIN,RUS,42.0,43,1T4z14,,,ldering,1,4,1,4,0,0,0,0,0,0,0,0
360,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Kipras,BALTRUNAS,LTU,17.0,44,1T4z17,,,ldering,1,4,1,7,0,0,0,0,0,0,0,0
361,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Jakub,ZIETEK,POL,49.0,45,1T4z111,,,ldering,1,4,1,1,0,0,0,0,0,0,0,0
362,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Carmel,RAZ ROMEO,ISR,37.0,46,1T4z117,,,ldering,1,4,1,7,0,0,0,0,0,0,0,0
363,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Stefan,BEDNAR,SVK,20.0,47,1T3z14,,,ldering,1,3,1,4,0,0,0,0,0,0,0,0
364,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Jens,DE LOUW,NED,34.0,48,1T3z15,,,ldering,1,3,1,5,0,0,0,0,0,0,0,0
365,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Maciej,DOBRZANSKI,POL,33.0,49,1T3z47,,,ldering,1,3,4,7,0,0,0,0,0,0,0,0
366,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Mykhayil,TKACHUK,UKR,27.0,50,1T2z13,,,ldering,1,2,1,3,0,0,0,0,0,0,0,0
367,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Ignas,KISIELIUS,LTU,41.0,51,1T2z15,,,ldering,1,2,1,5,0,0,0,0,0,0,0,0
368,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Milos,NEMY,SVK,56.0,52,1T2z22,,,ldering,1,2,2,2,0,0,0,0,0,0,0,0
369,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Ionut-Cosmin,ATOMEI,ROU,43.0,53,1T2z25,,,ldering,1,2,2,5,0,0,0,0,0,0,0,0
370,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Arkadiusz,MILLAN,POL,26.0,54,1T2z36,,,ldering,1,2,3,6,0,0,0,0,0,0,0,0
371,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Germanis,KLAVS,LAT,57.0,55,1T1z51,,,ldering,1,1,5,1,0,0,0,0,0,0,0,0
372,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Stepan,STRANIK,CZE,52.0,56,0T2z03,,,ldering,0,2,0,3,0,0,0,0,0,0,0,0
541,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Laura,ROGORA,ITA,279.0,1,4T4z1710,3T3z88,3T3z44,boulder,4,7,4,7,0,0,0,0,0,0,0,0
542,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Natalia,GROSSMAN,USA,255.0,2,3T4z97,2T4z46,2T3z36,boulder,4,7,5,0,0,0,0,0,0,0,0,0
543,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Lucia,DÖRFFEL,GER,791.0,3,2T3z214,1T4z211,1T3z110,boulder,4,5,8,9,0,0,0,0,0,0,0,0
544,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Lucile,SAUREL,FRA,785.0,4,3T4z68,1T4z17,1T3z24,boulder,3,7,3,8,0,0,0,0,0,0,0,0
545,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Camilla,MORONI,ITA,781.0,5,3T3z65,2T4z1015,1T3z29,boulder,3,7,5,0,0,0,0,0,0,0,0,0
546,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Urska,REPUSIC,SLO,455.0,6,2T4z515,2T3z75,0T3z011,boulder,3,6,3,9,0,0,0,0,0,0,0,0
547,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Holly,TOOTHILL,GBR,794.0,7,3T4z68,1T4z39,,boulder,3,6,4,7,0,0,0,0,0,0,0,0
548,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Daria,VERETENINA,RUS,283.0,8,2T3z911,1T4z413,,boulder,3,6,5,8,0,0,0,0,0,0,0,0
549,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Mattea,PÖTZI,AUT,276.0,9,2T2z96,1T4z920,,boulder,3,5,4,5,0,0,0,0,0,0,0,0
550,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Ayala,KEREM,ISR,799.0,10,2T4z312,1T3z13,,boulder,3,5,4,5,0,0,0,0,0,0,0,0
551,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Cloe,COSCOY,USA,792.0,11,2T4z413,1T3z15,,boulder,3,5,5,8,0,0,0,0,0,0,0,0
552,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Eliska,ADAMOVSKA,CZE,237.0,12,2T3z68,1T3z216,,boulder,3,4,5,6,0,0,0,0,0,0,0,0
553,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Flavy,COHAUT,FRA,784.0,13,3T4z57,1T3z34,,boulder,2,5,4,8,0,0,0,0,0,0,0,0
554,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Valentina,AGUADO,ARG,793.0,14,2T4z712,1T3z37,,boulder,2,4,2,5,0,0,0,0,0,0,0,0
555,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Eva Maria,HAMMELMÜLLER,AUT,257.0,15,2T4z27,1T3z311,,boulder,2,4,2,5,0,0,0,0,0,0,0,0
556,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Celina,SCHOIBL,AUT,280.0,16,2T3z46,1T3z311,,boulder,2,4,3,9,0,0,0,0,0,0,0,0
557,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Noa,SHIRAN,ISR,281.0,17,2T3z109,1T3z413,,boulder,2,3,6,4,0,0,0,0,0,0,0,0
558,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Luiza,EMELEVA,RUS,555.0,18,2T4z816,1T2z34,,boulder,1,2,2,5,0,0,0,0,0,0,0,0
559,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Anastasiia,EVGENEVA,RUS,252.0,19,2T4z912,0T2z07,,boulder,7,8,1,10,0,0,0,0,3,3,6,4
560,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Bronwen,KARNIS,CAN,782.0,20,1T3z28,0T1z01,,boulder,8,8,1,10,0,0,0,0,2,4,3,8
561,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Gwyneth,UTTLEY,GBR,795.0,21,1T3z29,,,boulder,6,8,8,0,0,0,0,0,2,4,5,8
562,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Sophie,BUITENDYK,CAN,779.0,22,1T3z417,,,boulder,7,8,1,9,0,0,0,0,2,3,5,8
563,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Hannah,MEUL,GER,790.0,23,1T3z57,,,boulder,7,8,1,10,0,0,0,0,2,2,3,2
564,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Mao,NAKAMURA,JPN,272.0,24,1T2z15,,,boulder,7,7,9,7,0,0,0,0,1,4,1,6
565,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Naama,YOHAI,ISR,287.0,25,1T2z24,,,boulder,7,8,1,11,0,0,0,0,1,4,2,8
566,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Alejandra,CONTRERAS,CHI,248.0,26,1T2z33,,,boulder,7,8,1,11,0,0,0,0,1,4,7,0
567,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Hannah,HERMANN,SUI,259.0,26,1T2z33,,,boulder,6,8,1,11,0,0,0,0,1,3,1,6
568,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Roxana,WIENAND,GER,789.0,26,1T2z33,,,boulder,6,8,9,3,0,0,0,0,1,1,7,7
569,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Sara,MORANDINI,ITA,271.0,29,1T2z44,,,boulder,6,8,1,12,0,0,0,0,0,0,0,0
570,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Mimu,KUROOKA,JPN,267.0,30,1T2z45,,,boulder,6,8,1,13,0,0,0,0,0,0,0,0
571,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Tetiana,ZAIETS,UKR,288.0,31,1T2z411,,,boulder,6,7,9,8,0,0,0,0,0,0,0,0
572,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Ariana,MATHEWS,USA,786.0,32,1T2z414,,,boulder,6,7,1,14,0,0,0,0,0,0,0,0
573,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Rut,CASAS MUR,ESP,244.0,33,1T2z65,,,boulder,6,7,1,14,0,0,0,0,0,0,0,0
574,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Olimpia,ARIANI,ITA,780.0,34,1T2z611,,,boulder,5,8,8,2,0,0,0,0,0,0,0,0
575,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Zoe,PEETERMANS,GBR,275.0,35,1T2z76,,,boulder,5,8,1,11,0,0,0,0,0,0,0,0
576,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Yuka,HIGUCHI,JPN,261.0,36,1T2z813,,,boulder,5,8,1,13,0,0,0,0,0,0,0,0
577,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Freja,DUNCAN,SWE,251.0,37,1T1z63,,,boulder,5,8,1,14,0,0,0,0,0,0,0,0
578,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Marie,COLOT,BEL,778.0,38,0T4z018,,,boulder,5,7,7,0,0,0,0,0,0,0,0,0
579,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Yelyzaveta,LAVRYKOVA,UKR,268.0,39,0T3z010,,,boulder,5,7,1,10,0,0,0,0,0,0,0,0
580,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Dagyeong,HAN,KOR,258.0,40,0T2z02,,,boulder,5,7,1,11,0,0,0,0,0,0,0,0
581,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Isabella Prehn,NYHUUS,DEN,543.0,41,0T2z03,,,boulder,5,7,1,11,0,0,0,0,0,0,0,0
582,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Annabelle,CLEARY,AUS,247.0,42,0T2z08,,,boulder,5,7,1,12,0,0,0,0,0,0,0,0
583,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Beatrix,EVANS,CAN,783.0,43,0T2z09,,,boulder,5,7,1,12,0,0,0,0,0,0,0,0
584,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Sarah,TETZLAFF,NZL,282.0,43,0T2z09,,,boulder,4,8,5,3,0,0,0,0,0,0,0,0
585,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Natalie,TUZOVA,CZE,787.0,45,0T1z02,,,boulder,4,8,6,2,0,0,0,0,0,0,0,0
586,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Tseng-shun,WONG,HKG,285.0,45,0T1z02,,,boulder,4,6,1,11,0,0,0,0,0,0,0,0
587,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Anastasiia,FESENKO,UKR,253.0,47,0T1z04,,,boulder,4,6,1,7,0,0,0,0,0,0,0,0
588,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Tereza,KUBATOVA,CZE,788.0,48,0T1z05,,,boulder,4,5,9,6,0,0,0,0,0,0,0,0
589,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Hyeonsu,KIM,KOR,265.0,49,0T1z06,,,boulder,4,4,1,8,0,0,0,0,0,0,0,0
590,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Hyejun,KIM,KOR,550.0,50,0T1z07,,,boulder,3,8,5,2,0,0,0,0,0,0,0,0
591,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Shilpa,CHARAK,IND,245.0,51,0T0z00,,,boulder,3,7,4,0,0,0,0,0,0,0,0,0
592,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Camilla,CIBULKA,RSA,246.0,51,0T0z00,,,boulder,3,7,6,1,0,0,0,0,0,0,0,0
593,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Kim,FORDE,NZL,254.0,51,0T0z00,,,boulder,3,7,1,19,0,0,0,0,0,0,0,0
594,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,María Fernanda,HIDALGO AMEZQUITA,MEX,260.0,51,0T0z00,,,boulder,3,6,9,1,0,0,0,0,0,0,0,0
595,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Milena,KROHN,RSA,266.0,51,0T0z00,,,boulder,3,5,6,7,0,0,0,0,0,0,0,0
596,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,VALERIYA,LANKOVA,KAZ,549.0,51,0T0z00,,,boulder,3,4,8,5,0,0,0,0,0,0,0,0
597,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Abby,MANNING,AUS,269.0,51,0T0z00,,,boulder,3,4,8,6,0,0,0,0,0,0,0,0
598,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Sophia,OSIPOVA,NZL,551.0,51,0T0z00,,,boulder,3,3,1,7,0,0,0,0,0,0,0,0
599,IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Mia Stöver,WOLLEBAEK,NOR,284.0,51,0T0z00,,,boulder,3,3,1,7,0,0,0,0,0,0,0,0
1150,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Lucie,DELCOIGNE,BEL,114.0,1,7T8z119,,3T4z56,boulder,3,4,6,6,0,0,0,0,0,0,0,0
1151,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Julia,LOTZ,AUT,142.0,2,7T8z1011,,3T4z67,boulder,3,4,7,9,0,0,0,0,0,0,0,0
1152,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Kintana,ILTIS,FRA,135.0,3,5T8z1010,,2T4z37,boulder,3,4,9,5,0,0,0,0,0,0,0,0
1153,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Eliška,BULENOVÁ,CZE,129.0,4,5T7z610,,2T4z39,boulder,2,5,3,8,0,0,0,0,0,0,0,0
1154,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Mona,JENEWEIN,AUT,113.0,5,7T7z118,,2T4z410,boulder,2,5,4,8,0,0,0,0,0,0,0,0
1155,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Lola,SAUTIER,FRA,147.0,6,5T7z710,,2T4z510,boulder,2,5,4,9,0,0,0,0,0,0,0,0
1156,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Anna,LECHNER,GER,118.0,7,4T8z58,,2T4z79,boulder,2,5,6,8,0,0,0,0,0,0,0,0
1157,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Caterina,DAL ZOTTO,ITA,146.0,8,5T6z106,,2T3z64,boulder,2,5,8,1,0,0,0,0,0,0,0,0
1158,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Miriam,FOGU,ITA,115.0,9,5T7z79,,1T4z15,boulder,2,4,2,4,0,0,0,0,0,0,0,0
1159,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Nika,POTAPOVA,UKR,148.0,10,4T8z510,,0T2z04,boulder,2,3,3,5,0,0,0,0,0,0,0,0
1160,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Vana,PICCINI,CRO,152.0,11,4T8z715,,,boulder,2,3,6,6,0,0,0,0,0,0,0,0
1161,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Lucie,WATILLON,BEL,117.0,12,4T7z611,,,boulder,2,2,5,4,0,0,0,0,0,0,0,0
1162,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Blanka,RUBINT,HUN,121.0,13,4T7z614,,,boulder,1,5,1,8,0,0,0,0,0,0,0,0
1163,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Aida,TORRES ILLAMOLA,ESP,127.0,14,4T7z710,,,boulder,1,5,2,0,0,0,0,0,0,0,0,0
1164,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Daria,NESTERENKO,UKR,141.0,15,4T6z69,,,boulder,1,4,1,9,0,0,0,0,0,0,0,0
1165,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Pauline,OURY,BEL,124.0,16,4T6z99,,,boulder,1,3,1,4,0,0,0,0,0,0,0,0
1166,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Erica,VELEV,BUL,151.0,17,3T6z46,,,boulder,1,3,5,8,0,0,0,0,0,0,0,0
1167,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Hannah,SMITH,GBR,108.0,18,3T6z714,,,boulder,0,3,0,9,0,0,0,0,0,0,0,0
1168,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Pia,ČULJAK,CRO,134.0,19,3T5z46,,,boulder,0,2,0,2,0,0,0,0,0,0,0,0
1169,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Maria,BENACH ZUBERO,ESP,130.0,20,3T5z56,,,boulder,0,1,0,1,0,0,0,0,0,0,0,0
1170,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Ingrid,KINDLIHAGEN,NOR,126.0,21,3T5z78,,,boulder,0,1,0,4,0,0,0,0,0,0,0,0
1171,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Michaela,SMETANOVA,CZE,133.0,22,3T5z79,,,boulder,0,1,0,4,0,0,0,0,0,0,0,0
1172,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Lucija,TARKUS,SLO,112.0,23,3T5z107,,,boulder,8,8,1,8,0,0,0,0,3,4,4,1
1173,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Eszter,RIESING,HUN,132.0,24,3T4z48,,,boulder,8,8,1,10,0,0,0,0,3,4,4,2
1174,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Charlène,TILBORGHS,BEL,123.0,25,3T4z64,,,boulder,7,8,9,3,0,0,0,0,3,4,8,6
1175,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Ana Belén,ARGUDO MARUGAN,ESP,139.0,26,2T7z210,,,boulder,7,8,1,14,0,0,0,0,2,4,5,2
1176,European Youth Cup (B) - Sofia (BUL) 2019,25  - 26 May 2019,Evdoxia - Aikaterini,KALLIA,GRE,120.0,27,2T6z615,,,boulder,7,8,1,8,0,0,0,0,2,3,3,5
