,Competition Title,Competition Date,FIRST,LAST,Nation,StartNr,Rank,Qualification,Semifinal,Final,Category,Quali_Tops,Quali_Zones,Quali_Atempts_Tops,Quali_Attempts_Zones,semi_Tops,semi_Zones,semi_Atempts_Tops,semi_Attempts_Zones,Finals_Tops,Finals_Zones,Final_Atempts_Tops,Final_Attempts_Zones
250,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Michael,O NEILL,IRL,271.0,13,8T8z1312,1T3z27,,boulder,8,8,1,12,1,3,2,7,0,0,0,0
251,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Ymer,ALBER,SWE,291.0,14,8T8z129,1T3z33,,boulder,8,8,1,9,1,3,3,3,0,0,0,0
252,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Ido,RIND,ISR,274.0,15,7T8z1111,1T2z14,,boulder,7,8,1,11,1,2,1,4,0,0,0,0
253,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Dylan,CHUAT,SUI,288.0,16,7T8z1213,1T2z18,,boulder,7,8,1,13,1,2,1,8,0,0,0,0
254,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Harold,PEETERS,BEL,253.0,17,8T8z1210,1T2z24,,boulder,8,8,1,10,1,2,2,4,0,0,0,0
255,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Vyacheslav,KRASNOPEROV,RUS,284.0,18,7T8z1112,1T2z611,,boulder,7,8,1,12,1,2,6,1,0,0,0,0
256,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Philipp,GEISENHOFF,SUI,289.0,19,7T8z1011,0T4z010,,boulder,7,8,1,11,0,4,0,0,0,0,0,0
257,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Yotam,BEN REUVEN,ISR,273.0,20,7T8z1113,0T2z07,,boulder,7,8,1,13,0,2,0,7,0,0,0,0
258,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,David,PICCOLRUAZ,ITA,280.0,21,7T8z1312,,,boulder,7,8,1,12,0,0,0,0,0,0,0,0
259,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Sergei,TIUPYSHEV,RUS,282.0,22,7T7z98,,,boulder,7,7,9,8,0,0,0,0,0,0,0,0
260,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Oleksii,KRYNETSKYI,UKR,295.0,23,7T7z1311,,,boulder,7,7,1,11,0,0,0,0,0,0,0,0
261,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Nino,GRÜNENFELDER,SUI,287.0,24,7T7z1412,,,boulder,7,7,1,12,0,0,0,0,0,0,0,0
262,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Matteo,MANZONI,ITA,277.0,25,6T8z913,,,boulder,6,8,9,3,0,0,0,0,0,0,0,0
263,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Grigorii,PESTOV,RUS,283.0,26,6T7z67,,,boulder,6,7,6,7,0,0,0,0,0,0,0,0
264,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Julien,CLÉMENCE,SUI,286.0,27,6T7z88,,,boulder,6,7,8,8,0,0,0,0,0,0,0,0
265,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Mikel Asier,LINACISORO MOLINA,ESP,260.0,27,6T7z88,,,boulder,6,7,8,8,0,0,0,0,0,0,0,0
266,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Emilien,CASADO,FRA,265.0,29,6T6z106,,,boulder,6,6,1,6,0,0,0,0,0,0,0,0
267,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Štěpán,POTŮČEK,CZE,256.0,30,6T6z108,,,boulder,6,6,1,8,0,0,0,0,0,0,0,0
268,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Šimon,POTŮČEK,CZE,255.0,31,6T6z109,,,boulder,6,6,1,9,0,0,0,0,0,0,0,0
269,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Mykhayil,TKACHUK,UKR,294.0,32,6T6z1210,,,boulder,6,6,1,10,0,0,0,0,0,0,0,0
270,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Lukas,FRANCKAERT,BEL,252.0,33,5T7z610,,,boulder,5,7,6,0,0,0,0,0,0,0,0,0
271,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Shachar,BEN HAYUN,ISR,272.0,34,5T7z811,,,boulder,5,7,8,1,0,0,0,0,0,0,0,0
272,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Albert,ILSAAS SUTHURST,NOR,281.0,35,5T6z66,,,boulder,5,6,6,6,0,0,0,0,0,0,0,0
273,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Eneko,CARRETERO CRUZ,ESP,261.0,36,5T6z910,,,boulder,5,6,9,0,0,0,0,0,0,0,0,0
274,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Louis,GUNDOLF,AUT,250.0,36,5T6z910,,,boulder,5,6,9,0,0,0,0,0,0,0,0,0
